Id,Sentiment,Pasangan Calon,Text Tweet
41,negative,Agus-Sylvi,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi
42,negative,Agus-Sylvi,Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP
43,negative,Agus-Sylvi,"secara kesatria dan lapang dada ternyata hoax, yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy"
44,negative,Agus-Sylvi,"Agus tersingkir, Ahok & Anies rebutan suara AHY untuk kepentingan kelompok   lewat @YouTube #ahok #anies #ahy #pilgub"
45,negative,Agus-Sylvi,Meskipun #AHY kehilangan kesempatan untuk menduduki Gubernur DKI 2017-2022
46,negative,Agus-Sylvi,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok
47,negative,Agus-Sylvi,Cari teman ni yee.1dan3 punya keinginan sama Gubernur Baru...tunggu dlu hasil resmi KPU baru dengar pernyataan #AHY
48,negative,Agus-Sylvi,blunder itu ya dulu hina2 #AHY tapi sekarang butuh 17% suara dan harus ngemis minta sama orang yang dulu di hina2. JLEB!
49,negative,Agus-Sylvi,Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!
50,negative,Agus-Sylvi,Golput lebih tinggi daripada pemilih #AHY ya nampaknya. #pilkadadki2017
51,negative,Agus-Sylvi,Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.
52,negative,Agus-Sylvi,"#AHY, pakar mantan, sby, Ini Surat Anas Urbaningrum Dari Jeruji Besi, Sindiran Buat Mantan?"
53,negative,Agus-Sylvi,Jangan tanya aku. aku sekeluarga pemilih #AHY. Kalau program DP 0% nyata. aku sekeluarga milih #3. https://twitter.com/totonih/status/
54,negative,Agus-Sylvi,"#AHY-Sylvi, Anies-Sandiaga, Basuki-Djarot, Debat Pilkada DKI 2017, Jangan Jual Mimpi Demi Jadi Gubernur..."
55,negative,Agus-Sylvi,ahhhh bukannya karena bang aji ada disitu yang bikin kalah #AHY?
56,negative,Agus-Sylvi,"Mungkin saya, dengan rendah hati, bisa meminta pendukung paslon 1 yang masih berat hati, untuk melihat foto ini sejenak #AHY"
57,negative,Agus-Sylvi,Aku bangga jadi anak memo. #AHY #moshing
58,negative,Agus-Sylvi,Pendukung #AHY sulit melupakan bully2 seperti ini
59,negative,Agus-Sylvi,pantas saja #AHY hancur
60,negative,Agus-Sylvi,"anggap saja bisa, sebulan kemudian pada dijual (pindah tangan) ke orang2 elit partai gerindra dan pks #pilkadadki #ahy"
61,negative,Agus-Sylvi,"#AHY, antasari, konferensi pers sby, sby, Konferensi Pers SBY seperti Rengekan Anak Kecil"
62,negative,Agus-Sylvi,Tim yang tidak pernah tidur #ahy
63,negative,Agus-Sylvi,Coba beretika bila ingin dukungan dari konstituen setia #AHY. Jangan menipu dengan membuat meme dan berita palsu. Rachland Nashidik
64,negative,Agus-Sylvi,"Kasihan #AHY ,, Tidak menyadari ada musuh dalam sarung Selfienya sebagai motivasi terselubung hmmm."
65,negative,Agus-Sylvi,amieeennnnn dan tidak lupa dengan janji2 manis saat kampanye..#AHY Sang Mayor Sejati
66,negative,Agus-Sylvi,"Pada Pilkada DKI, AHY dan SBY jadi target hoax dan fitnah yang dilakukan akun-akun pendukung Ahok."
67,negative,Agus-Sylvi,"AHY masih mentah tapi mau dikarbit demokrat, melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja"
68,negative,Agus-Sylvi,"Akibat pernyataan Antasari, suara AHY melorot pada Pilkada DKI."
69,negative,Agus-Sylvi,"Enam bulan kampanye pilkada di kubu AHY, pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri"
70,negative,Agus-Sylvi,(13) namun apa yang dicontohkan AHY dan pendukungnya tak terjadi paska putaran kedua Pilkada DKI Jakarta. Perentangan menjadi semakin tajam.
71,negative,Agus-Sylvi,AHY dan Tim berjalan menjauh dari hiruk pikuk Pilkada. Melanjutkan perjalanan panjang politik mereka dengan rasa kecewa @panca66 @bambangelf
72,negative,Agus-Sylvi,"Ketika AHY kalah & berpidato, semua timnya terdiam menangis, lalu setelah itu mereka melepaskan diri dari pilkada DKI. @panca66 @bambangelf"
73,negative,Agus-Sylvi,"sejujurnya penilaian subyektif saya, terlalu cepat bila AHY 2019. Kalah di pilkada bukan modal, tapi catatan negatif."
74,negative,Agus-Sylvi,Tolak bajingan tengik AHY tukang sogok pemilih ini. Bangsat AHY ini sungguh berbahaya
75,negative,Agus-Sylvi,tolak ahy yang berpolitik membawa agama #AHYMaininSARA
76,negative,Agus-Sylvi,"Astaga ini pendukung AHY tidak terima sekali dengan hasil survey,harusnya jadi tolak acuan untuk lebih semangat #efeknontonmetro"
77,negative,Agus-Sylvi,"Sah-sah aja, Justru itu menjadi tolak ukur kedewasaan warga dki, kalo AHY menang artinya pola pikir warga masih primitif.. #PolitikUangAHY"
78,negative,Agus-Sylvi,Suara Warga Cuma Dihargai SEMBAKO TOLAK AHY Sudah melakukan penyuapan kepada warga @Abaaah @MurtadhaOne @RinjaniJB @fariz1234 @ananghijau
79,negative,Agus-Sylvi,Sejak AHY tidak ikut pilkada lagi sudah tidak asyik ya
80,negative,Agus-Sylvi,tinggal seleksi tendemnya. Di pilkada DKI AHY kalah karena tendemnya salah pilih. Malah mengurangi kualitas AHY
81,negative,Agus-Sylvi,Ternyata segelintir pendukung AHY merasa ditikung di saat terakhir karena adanya tweet dari akun resmi parpol pendukung Anies-Sandi #Pilkada
82,negative,Agus-Sylvi,AHY Menanggung Akibat Cuitan Ayahnya yang Tak Produktif.
83,negative,Agus-Sylvi,"kering sudah darah @ahy saatnya menghisap darah @anisandi mumpung stok darahnya bergudang-gudang, darah hantu diminum setan #pilkadadki"
84,negative,Agus-Sylvi,"Sebenarnya reaksi pendukung AHY ini tak perlu bersikap Baper seperti itu, karena tak ada yang mau jadi pecundang di ajang Pilkada #PilkadaDK"
85,negative,Agus-Sylvi,"Dengan Suara Bergetar, AHY Minta Maaf Sudah Kecewakan Pendukungnya. http://bit.ly/2kSOA2G  #pilkadadki"
86,negative,Agus-Sylvi,"AHY Kalah di Kandang, Begini Respon Para Tetangga. http://bit.ly/2kpEDv4 #pilkadadki"
87,negative,Agus-Sylvi,"lini pertahanan AHY rapuh debat efek, aksi 112 efek dan Antasari efek #pilkadaDKI"
88,negative,Agus-Sylvi,Gagal di Pilkada DKI Jakarta AHY Diisukan Maju ke Pilgub Jatim https://goo.gl/fb/ECcmdW  #headlines #politikbirokrasi #pilkadadki
89,negative,Agus-Sylvi,AHOK melejit... Anies menanjak... AHY mengapung... #PilkadaDKI
90,negative,Agus-Sylvi,"Berdasarkan survey sementara, AHY masuk 3 besar. Selamat! #PilkadaSerentak2017 #PilkadaDKI"
91,negative,Agus-Sylvi,"Meninggalkan zona aman dan nyaman demi kemajuan Jakarta, dengan hasil yang tak sesuai harapan - AHY #realitybites #PilkadaDKI"
92,negative,Agus-Sylvi,"Kasihan AHY kalah walaupun sudah umroh, dibantu doa 7 juta umat.Ternyata Allah itu netral, tidak berpolitik #PilkadaDKI"
93,negative,Agus-Sylvi,"Jual baju bekas AHY, baru 3 bulan, PM for info #PilkadaDKI @AgusYudhoyono"
94,negative,Agus-Sylvi,"AHY siap siap jadi vocalis BAND rock yaaaa, lompat lompat mulu bang kerjaannya #PilkadaDKI #QuickCount"
95,negative,Agus-Sylvi,"Kasian benar nasib AHY, karir tinggi di TNI harus tamat karena nafsu pepo. Selanjutnya paling cepat ikut parpol kalau tidak begitu dagang ak"
96,negative,Agus-Sylvi,Jangan sampai SBY berkata AHY kalah gara-gara Antasari ya? Survey kan sudah menunjukan AHY terus merosot elektabilitasnya #PilkadaDKI
97,negative,Agus-Sylvi,"Saya bertanya kepada Bapak Presiden, TV saya rusak apa ya? Kok AHY tidak naik naik hasil QC sementara? #PilkadaDKI *GPP*"
98,negative,Agus-Sylvi,Pepo sampai saat ini kok belum menyatakan prihatin AHY jadi pecundang #pilkadaDKI #pilkadarasapilpres #Pilkada2017
99,negative,Agus-Sylvi,Selamat datang AHY sebagai rakyat biasa setelah mundur dari TNI dan kalah di Pilkada DKI #pilkadaDKI #pilkadarasapilpres
100,negative,Agus-Sylvi,"heeebohhhh....Agus Sylvi kalah di TPS 6 tmpat @AgusYudhoyono menggunakan hak pilihnya... #PilkadaDKI #QuickCount #ahy	"
101,negative,Agus-Sylvi,Yang pilih #AHY semoga tidak  ikut demokrat yaa kalau benar mau dukung Ahok.
102,negative,Agus-Sylvi,"Demokrat ke Ahok, Gerindra: Ini Tantangan karena Mereka Bermain Politik Kotor http://dlvr.it/NNsyDv"
103,negative,Agus-Sylvi,"Mesin robot #AHY-Sylvi lupa dimatiin, jadi masih masuk trending topik"
104,negative,Agus-Sylvi,Buat pendukung #AHY mari rapatkan barisan ke paslon #3 Buang issu miring paslon #3 Masih mau dipimpin seorang TERDAKWA? SIMULUT EMBER????
105,negative,Agus-Sylvi,"Harusnya rakyat menangis melihat #AHY KALAH. Bukan dari aspek #AHY sebagai pribadi, tapi demi kepentingan rakyat sendiri. #TetapAHY"
106,negative,Agus-Sylvi,"Maksud hati caper dari ahy/silvy, eh malah kena protes dari mereka <FACE WITH STUCK-OUT TOUNGES> <Rolling on the Floor Laughing> <Rolling on the Floor Laughing>"
107,negative,Agus-Sylvi,"AHY bisa kok menang pilgub DKI, bisa.... Asal ngumpulin dulu 7 bola dragon ball <Rolling on the Floor Laughing> <Rolling on the Floor Laughing> #QuickCount #PilkadaDKI"
108,negative,Agus-Sylvi,Ah sekarang kalau lihat AHY jadi inget Norman Kamaru Apakah AHY akan jualan bubur? Lalu naik haji <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI
109,negative,Agus-Sylvi,"AHY kemungkinan besar tersingkir <Persevering Face> <Persevering Face> #PilkadaDKI hampir pasti dilanjuntukan di putaran kedua, Ahok-Djarot vs Anies-Sandi."
110,negative,Agus-Sylvi,"AHY nyungsep , orang bapaknya aja menyarankan coblos no 2 <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI"
111,negative,Agus-Sylvi,Mau nyoblos atau mau ke tempat berkabung. <Tongue> #Ahy memakai baju hitam2..atau lagi sedih <Smiling Face With Open Mouth & Smiling Eyes> #siapkalah di #Pilkadadki  @Metro_TV
112,negative,Agus-Sylvi,AHY Sangat Cemas Terhadap Situasi Sosial Usai Pilkada Jakarta: Pilkada DKI Jakarta berdampak negatif bukan hanyaâ€¦ http://dlvr.it/PGqY
113,negative,Agus-Sylvi,AHY kalah.. Sisi negatif: Umat Islam tertunda dalam menempatkan pemimpin. Sisi positif: Umat Islam terhindar dari saling hujat & buka aib.
114,negative,Agus-Sylvi,#DebatFinalPilkadaJKT AHY AHY Anda ngomong karakter.. Anda tau yang barusan Anda omongkan untuk melihat sisi negatif orang lain? <Tongue> <Oncoming Fist>
115,negative,Agus-Sylvi,"AHY hanya membicarakan negatif saja untuk Jakarta, tidak ada solusi yang tepat untuk mengatasi nol besar. <Thumbs Down> #Debat1PilkadaDKI"
116,negative,Agus-Sylvi,Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY http://brt.st/5qQ7  via @beritasatu #JakartaAdalahKita
117,negative,Agus-Sylvi,"Ya Alloh Tuhan YME, AHY ternyata didukung senator beraura negatif #SenatorDKIDukungAgusSylvi"
118,negative,Agus-Sylvi,"menemukan Foto seperti ini, Ternyata lingkaran orang2 AHY penuh masalah semua integritas dan kwalitas yang negatif Waspada.. Waspada.. <Thumbs Down>"
119,negative,Agus-Sylvi,wah si AHY 70% sentimennya negatif. Wkwkwk.<FACE WITH STUCK-OUT TOUNGES>
120,negative,Agus-Sylvi,Senjata makan tuan aka karma @Beritasatu: #PopulerB1 2: Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY <FACE WITH STUCK-OUT TOUNGES>
121,negative,Agus-Sylvi,#AHY AniesHilangYa.. #AhokDjarotDiRosi. <Grimacing Face> <Grimacing Face> @KompasTV @Rosianna766Hi @SittaYohag @gunawanahokers @gUNJKT_ @PartaiSocmed @ulinyusron
122,negative,Agus-Sylvi,#AHY Anies Hilang Ya di debat @KompasTV #ahokdjarotdirosi <Grimacing Face> <Grimacing Face> @Takviri @WahhabiCC @embah72 @gerilyapolitik @cagubnyinyir @kangdede78
123,negative,Agus-Sylvi,2.mesti nyuruh mantan pemilih #AHY-#Sylvi buat pilih paslon #Anies-#Sandi !!! <Face With Open Mouth> <THUMBS UP> <OK HAND> <FOLDED HANDS> <Thinking Face> <Smiling Face With Sunglasses> https://twitter.com/RestySeterah/status
124,negative,Agus-Sylvi,"1.Kenape kagak dilawan ama pasangan #AHY-#DickyChandra buat Pilgub Jabar ??? Cuma Demokrat emang hrs tegas dulu buat Pilgub DKI, <Thinking Face> <Thinking Face> <Thinking Face>"
125,negative,Agus-Sylvi,Gara2 kemaren #AHY pake seragam hitam2 ??? <Thinking Face> <Thinking Face> <Thinking Face> <Smiling Face With Open Mouth & Closed Eyes> <Smiling Face With Sunglasses> https://twitter.com/NetizenTofa/status/841350678345736192 …
126,negative,Agus-Sylvi,ya pastilah #FPI kan tidak suka sama Ahok jadi pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi <Grimacing Face>
127,negative,Agus-Sylvi,ahoker masih bully #AHY
128,negative,Agus-Sylvi,@ZaraZettiraZZ @NetizenTofa @ndoro__putri ada ahoker masih ngebully program #AHY <FACE WITH TEARS OF JOY> <FACE WITH TEARS OF JOY> <FACE WITH TEARS OF JOY>
129,negative,Agus-Sylvi,Kirim ke aku saja Kaosnya... #AHY sejati <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes>
130,negative,Agus-Sylvi,#ahy <Frowning Face>
131,negative,Agus-Sylvi,"#AHY,humor,lagu, Kisah Sedih AHY di Balik Lagu Jatuh Bangun  <Frowning Face> <Frowning Face>"
132,negative,Agus-Sylvi,"#AHY,Cuitan Hati SBY,Cuitan SBY, jokowi, mantan, mantan terindah,Pilgub DKI 2017  <Tongue> <Tongue>"
133,negative,Agus-Sylvi,"Owalah, kasihan kamu, Dik. Semoga kamu tidak jadi orang miskin, ya. Aamiin <THUMBS UP>  #AHY selalu dihati  <Tongue> "
134,negative,Agus-Sylvi,Aku bangga jadi anak memo.  <Tongue>   <Face With Stuck-Out Tongue & Closed Eyes>  <FACE WITH TEARS OF JOY>    #AHY #moshing
135,negative,Agus-Sylvi,Pendukung #AHY sulit melupakan bully2 seperti ini <Thumbs Down>
136,negative,Agus-Sylvi,"Versi #3 video #AHYANGaruk2Kepala terlihat bingung bicara banjir, kota apung  <Face With Stuck-Out Tongue & Closed Eyes>  di atas, permukaan tanah dan air, bikin bengong <Smiling Face With Open Mouth & Closed Eyes>"
137,negative,Agus-Sylvi,Ahokers mendadak #AHY ?? Gak salah tuh?? Sesuatu banget !!  <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes>
138,negative,Agus-Sylvi,HOAX kok tidakada habis2nya...  Foto 4 hari sebelum pencoblosan...fotonya tidak HOAX.. tulisanya penuh dusta! <Angry Face>
139,negative,Agus-Sylvi,Deklarasi ini sepihak. Tanpa konsultasi dan persetujuan AHY.
140,negative,Agus-Sylvi,@Syahrir_Lantoni sudah kena telikung sekarang nama #AHY dibajak pula? <Face With Stuck-Out Tongue & Closed Eyes>
141,negative,Agus-Sylvi,"Meski saya tak pilih #AHY, kok rasanya mules ya dengan kontestasi politik putaran 2 #politikpalsu cuih  <Pig Nose> <Pig Nose>"
142,negative,Agus-Sylvi,"Pak @SBYudhoyono jangan biarkan pengorbanan dan perjuangan #AHY , Kita #Lawan Rezim Koplak ini ! #nunggu komando.  <Fire>  <Fire>"
143,negative,Agus-Sylvi,Jadi gak sampai hati ketika mencermatinya ! Mungkin ada penyusup masuk tidak terpantau <Person Bowing> oleh team #AHY
144,negative,Agus-Sylvi,Ayo pendukung AHY Dukung penggembosmu <Tongue> <Fire> <Fire>
145,negative,Agus-Sylvi,Suara #ahy bakal direbuntukan. Apakah pak @basuki_btp mau melanjuntukan program yang di usung pak @AgusYudhoyono sepertinya tidak .  <Expressionless Face>
146,negative,Agus-Sylvi,@SBYudhoyono tweet anda yang justru kontraproduktif terhadap #AHY pak. <Zipper-Mouth Face> <Zipper-Mouth Face> <Zipper-Mouth Face>
147,negative,Agus-Sylvi,#AHY #SBY #Jakarta #Jatim #Jabar #Presiden #NgopiSore Mau ke Mana AHY Setelah Nyungsep di Jakarta? @tribunmedan
148,negative,Agus-Sylvi,"Suara #AHY rusak gara-gara nyanyian si AA PeKa ini, moga SBY bisa bikin dia jeblos penjara sampai pupus disana !!! #GueGeram  <Face With Steam From Nose>"
149,negative,Agus-Sylvi,"awas banyak mendadak baik, metamorfosis dari kecebong brubah jd anjing penjilat #AHY & #AniesSandi  <OK HAND> <Clapping Hands>"
150,negative,Agus-Sylvi,Sekarang tinggal tunggu sikap #AHY terhadap manuver agus   <Clapping Hands>  <Face With Cold Sweat> <Face With Cold Sweat>
151,positive,Agus-Sylvi,Doa ku.. Semoga suaranya mas Agus-Sylvi beneran ke #Badja #PilkadaDKI2017 yakin kan mas Agus.. Aku pada mu..
152,positive,Agus-Sylvi,"Terima kasih mas @AgusYudhoyono, karenamu anak muda telah berani menyuarakan perubahan. Kami tetap bersamamu #YNWA"
153,positive,Agus-Sylvi,KETEMU DI ISTIQLAL Bangga Pernah Jadi Bagian Dari @AgusYudhoyono dan @sylviana_murni @ZaraZettiraZr @AhyCenter @SohibAHY
154,positive,Agus-Sylvi,"Tersingkir dari kancah pilkada DKI, rupanya ada cara lain untuk mengangkat seseorang #AHY Mendunia"
155,positive,Agus-Sylvi,"Dalam Pilkada DKI, AHY juga mampu menunjukkan kualitasnya sebagai seorang pemimpin muda yang berjiwa ksatria. (AHY mendunia)"
156,positive,Agus-Sylvi,usai pilkada DKI AHY keliling Nusantara merajut Persatuan #Indonesia bukan cuma Jakarta!
157,positive,Agus-Sylvi,"(12) AHY justru menitipkan pentingnya menjaga pluralisme, kebangsaan dan kesatuan dalam persaingan Pilkada. Persatuan lebih penting."
158,positive,Agus-Sylvi,AHY memang kalah di pilkada tetapi MENANG di hati rakyat.
159,positive,Agus-Sylvi,Dari pada pendukung Ahok berantem terus. Mending kaya pendukung AHY membuat kopdar biar makin luas siapa tau jadi calon lagi
160,positive,Agus-Sylvi,"Menurut AHY, Pilkada DKI memberi hikmah, pelajaran, ujian dan tantangan yang dapat ia ambil. Semua itu dapat mematangkan karakternya#AIMAN"
161,positive,Agus-Sylvi,"@AgusYudhoyono Semangat terus Pak AHY, faktor kekalahan pada pilkada waktu kemarin itu adalah wakil Pak AHY, nanti maju lagi, insyaAlloh."
162,positive,Agus-Sylvi,"kalau dilihat upaya Demokrat mengenalkan AHY cukup berhasil di Pilkada Jakarta, dan sekarang AHY sudah mulai blusukan ke seluruh Indonesia"
163,positive,Agus-Sylvi,"@AHY prinsip kepemimpinan, memenangkan sebuah Pilkada, belajar terus dan sangat dinamis. @hildathawilla @Panti_silaban"
164,positive,Agus-Sylvi,"Pilihan warga jkt Mayoritas bukan pada ahok, tapi calon selain ahok, terbukti di dua putaran pilkada dki. Mayoritas memilih AHY dan Anies"
165,positive,Agus-Sylvi,"Lewat Akun Instagram, AHY Ucapkan Selamat Kepada Paslon Pemenang Pilkada DKI Jakarta"
166,positive,Agus-Sylvi,Menyeberangi Selat Malaka. Aiman KompasTV yang mendapat kesempatan pertama mewawancarai AHY usai Pilkada DKI @Rosianna766Hi
167,positive,Agus-Sylvi,AHY Sebut Pilkada DKI Berjalan Bermartabat
168,positive,Agus-Sylvi,"Salam kagum buat AHY. Masih muda, berani pensiun dini, berani menantang ahok di pilkada, disaat semua pada takut, termasuk @ridwankamil"
169,positive,Agus-Sylvi,Pilkada DKI berdoa AHY menang. Mudah-mudahan Anies Sandi yang menang.
170,positive,Agus-Sylvi,"soal mental kalah Pilkada, Indonesia harus berguru pada sosok AHY."
171,positive,Agus-Sylvi,"LSI telah membuktikan kejujuran surveynya pada pilkada DKI tahap1- ahokdjarot disurvey langsung kalah dan Ahy menang 1 putaran,"
172,positive,Agus-Sylvi,"sehabis pilkada,pileg dan pilpres saya harap AHY menjadi ketua DPR @AgusYudhoyono"
173,positive,Agus-Sylvi,Sebentar lagi kita lupakan kegilaan pilkada DKI. Mari berlari bersama AHY. Kita mulai dari Kepri 23 April
174,positive,Agus-Sylvi,"Saya bilang PASTI MENANG karena bentuk keyakinan akan keberhasilan goal goal LAIN dari IMPROVISASI politik Pak SBY & Pak AHY,di Pilkada DKI."
175,positive,Agus-Sylvi,semoga Anies menang pilkada dan AHY jadi presiden Indonesia 2019 Aamiin YRA klop dah!@AgusYudhoyono
176,positive,Agus-Sylvi,"@SBYudhoyono setelah pilkada DKI, AHY jadi sangat diperhitungkan. Diharapkan dia bisa menjadi pemimpin RI selanjutnya"
177,positive,Agus-Sylvi,saya pikir target AHY dalam pilkada kemarin adalah untuk membangun sentimen positif
178,positive,Agus-Sylvi,"Jadi, tolong hargai sikap saya dan beberapa pendukung AHY yang memilih bersikap netral di putaran kedua Pilkada DKI 2017 ini."
179,positive,Agus-Sylvi,Pilkada Rasa Pilkades kata mas @panca66 tidak ada AHY tidak rame
180,positive,Agus-Sylvi,di pilkada putaran pertama kemarin saya membuat kaos AHY sendiri untuk dibagi-bagikan dilingkungan saya Utan Kayu Jaktim.
181,positive,Agus-Sylvi,"tetap semangat dukung AHY-Sylvi sampai pilkada terlaksana, yakin dan tentukan pilihan anda kepada yang pro rakyat."
